iter	Passed	Remaining
400	19142	4726
401	19185	4677
402	19224	4627
403	19267	4578
404	19312	4530
405	19355	4481
406	19401	4433
407	19450	4385
408	19503	4339
409	19555	4292
410	19605	4245
411	19653	4197
412	19706	4151
413	19760	4104
414	19797	4054
415	19837	4005
416	19879	3956
417	19918	3907
418	19963	3859
419	20006	3810
420	20053	3763
421	20098	3714
422	20138	3665
423	20179	3617
424	20225	3569
425	20267	3520
426	20306	3471
427	20346	3422
428	20385	3373
429	20428	3325
430	20466	3276
431	20507	3228
432	20549	3179
433	20588	3130
434	20625	3082
435	20669	3033
436	20708	2985
437	20749	2937
438	20785	2888
439	20822	2839
440	20862	2791
441	20906	2743
442	20949	2695
443	20991	2647
444	21029	2599
445	21073	2551
446	21110	2502
447	21149	2454
448	21190	2406
449	21229	2358
450	21277	2311
451	21321	2264
452	21359	2216
453	21402	2168
454	21445	2121
455	21490	2073
456	21535	2026
457	21573	1978
458	21616	1930
459	21657	1883
460	21701	1835
461	21757	1789
462	21811	1743
463	21857	1695
464	21894	1648
465	21936	1600
466	21977	1553
467	22018	1505
468	22056	1457
469	22093	1410
470	22137	1363
471	22173	1315
472	22215	1268
473	22255	1220
474	22293	1173
475	22337	1126
476	22373	1078
477	22415	1031
478	22518	987
479	22560	940
480	22596	892
481	22636	845
482	22676	798
483	22721	751
484	22759	703
485	22797	656
486	22840	609
487	22883	562
488	22929	515
489	22979	468
490	23027	422
491	23065	375
492	23107	328
493	23146	281
494	23184	234
495	23235	187
496	23288	140
497	23336	93
498	23378	46
499	23418	0
