iter	Logloss
322	0.106041549
323	0.1060128525
324	0.105930373
325	0.1058897026
326	0.1058452392
327	0.1057902588
328	0.1057054989
329	0.1056670997
330	0.1056164952
331	0.105571719
332	0.1055099298
333	0.1054811445
334	0.10545055
335	0.1053975163
336	0.1053235243
337	0.1052966543
338	0.1052697072
339	0.1052216022
340	0.1051975403
341	0.1051712105
342	0.1051461759
343	0.1051043973
344	0.1049507025
345	0.1049124822
346	0.1048600453
347	0.1048285891
348	0.1047794023
349	0.1047459435
350	0.1047009922
351	0.1046816831
352	0.1046558691
353	0.1046241813
354	0.104587858
355	0.1045570946
356	0.1045329762
357	0.1045098676
358	0.1044798381
359	0.1044609175
360	0.1044186205
361	0.1043457308
362	0.1043153702
363	0.1040838505
364	0.10404411
365	0.1040210245
366	0.1039296933
367	0.1039086122
368	0.1038823949
369	0.1038487265
370	0.1038236355
371	0.1037984856
372	0.1037860651
373	0.1037595131
374	0.1037114143
375	0.103675394
376	0.103645887
377	0.1036034733
378	0.1035704603
379	0.103549309
380	0.1034968425
381	0.1034322387
382	0.1033871236
383	0.1033458552
384	0.1033208933
385	0.1032962081
386	0.1032719647
387	0.1032335889
388	0.1031967111
389	0.1031561656
390	0.1031044139
391	0.1030856483
392	0.1030494542
393	0.1030216244
394	0.1029837665
395	0.1029224138
396	0.102885883
397	0.1028553554
398	0.1028118019
399	0.1027896311
400	0.1027631879
401	0.1027051301
402	0.1026647337
403	0.1026043767
404	0.1025697705
405	0.1025197808
406	0.1024890187
407	0.1024624515
408	0.1024155625
409	0.1023815826
410	0.1023666564
411	0.1023438274
412	0.1023301431
413	0.1023062638
414	0.1022843975
415	0.1022632383
416	0.1022354631
417	0.1022122708
418	0.1021633022
419	0.1021376734
420	0.1021019276
421	0.1020779743
422	0.1020362289
423	0.102013978
424	0.1019662824
425	0.1019326368
426	0.1019064458
427	0.1018816495
428	0.1018546919
429	0.1018279768
430	0.1017878389
431	0.1017613012
432	0.1017192194
433	0.1016954553
434	0.1015746402
435	0.1015288624
436	0.1014767456
437	0.1014172742
438	0.1014010314
439	0.1013868374
440	0.1013598512
441	0.1013126853
442	0.101196899
443	0.1011721377
444	0.101139659
445	0.1010884864
446	0.1010626895
447	0.1010235366
448	0.1009878353
449	0.1009521692
450	0.1009287759
451	0.1009004808
452	0.1008545282
453	0.1007694942
454	0.1007463544
455	0.1007052063
456	0.100663852
457	0.1006432446
458	0.1005684368
459	0.100537316
460	0.1004563597
461	0.1004129814
462	0.1003777026
463	0.1003581571
464	0.1003369265
465	0.1003069385
466	0.1002814095
467	0.1002501431
468	0.1002263288
469	0.1002093038
470	0.1001725973
471	0.1001527301
472	0.1001214127
473	0.1000822444
474	0.1000493351
475	0.1000061703
476	0.09998973748
477	0.09996741196
478	0.09994063727
479	0.09991361071
480	0.09988958012
481	0.09987412237
482	0.0998572412
483	0.09983951749
484	0.09974781887
485	0.09973271599
486	0.09970366858
487	0.09967741488
488	0.09964937474
489	0.09958405309
490	0.09954262614
491	0.09951091553
492	0.09948899815
493	0.09946585774
494	0.09942270518
495	0.09940289922
496	0.09938453831
497	0.09928691014
498	0.0992520217
499	0.09923777879
